1,两数之和,9564,50.0%,简单
26,删除排序数组中的重复项,2902,52.7%,简单
27,移除元素,2395,59.1%,简单
35,搜索插入位置,2390,47.0%,简单
121,买卖股票的最佳时机,2263,55.7%,简单
4,寻找两个正序数组的中位数,2255,39.5%,困难
53,最大子序和,2231,53.1%,简单
面试题10.01,合并排序的数组,2198,54.5%,简单
283,移动零,2145,63.6%,简单
66,加一,2125,45.5%,简单
34,在排序数组中查找元素的第一个和最后一个位置,1956,42.2%,中等
11,盛最多水的容器,1945,64.7%,中等
15,三数之和,1860,30.7%,中等
88,合并两个有序数组,1823,49.2%,简单
122,买卖股票的最佳时机II,1712,66.3%,简单
剑指Offer03,数组中重复的数字,1690,67.5%,简单
42,接雨水,1608,54.0%,困难
62,不同路径,1552,64.0%,中等
55,跳跃游戏,1534,41.6%,中等
169,多数元素,1500,65.5%,简单
56,合并区间,1498,44.1%,中等
33,搜索旋转排序数组,1463,40.3%,中等
64,最小路径和,1349,68.1%,中等
48,旋转图像,1274,72.2%,中等
78,子集,1234,79.5%,中等
剑指Offer04,二维数组中的查找,1220,41.0%,中等
75,颜色分类,1203,57.3%,中等
118,杨辉三角,1198,69.8%,简单
39,组合总和,1188,71.9%,中等
167,两数之和II-输入有序数组,1140,57.3%,简单
189,旋转数组,1139,45.5%,中等
31,下一个排列,1124,36.4%,中等
面试题01.01,判定字符是否唯一,1111,72.2%,简单
120,三角形最小路径和,1109,67.1%,中等
63,不同路径II,1084,37.5%,中等
41,缺失的第一个正数,1072,40.4%,困难
54,螺旋矩阵,979,42.4%,中等
18,四数之和,977,39.7%,中等
217,存在重复元素,968,55.0%,简单
剑指Offer29,顺时针打印矩阵,961,44.3%,简单
509,斐波那契数,949,68.3%,简单
16,最接近的三数之和,938,45.9%,中等
1365,有多少小于当前数字的数字,923,82.6%,简单
剑指Offer53-II,0～n-1中缺失的数字,900,44.1%,简单
105,从前序与中序遍历序列构造二叉树,889,68.9%,中等
79,单词搜索,885,44.0%,中等
1431,拥有最多糖果的孩子,872,84.9%,简单
605,种花问题,869,34.2%,简单
1013,将数组分成和相等的三个部分,861,40.3%,简单
40,组合总和II,858,64.2%,中等
1160,拼写单词,820,68.7%,简单
746,使用最小花费爬楼梯,812,54.7%,简单
45,跳跃游戏II,810,38.3%,困难
695,岛屿的最大面积,807,64.5%,中等
面试题01.07,旋转矩阵,806,75.9%,中等
84,柱状图中最大的矩形,789,42.6%,困难
287,寻找重复数,785,66.2%,中等
152,乘积最大子数组,774,40.9%,中等
209,长度最小的子数组,774,44.8%,中等
面试题01.02,判定是否互为字符重排,772,65.5%,简单
1480,一维数组的动态和,759,86.2%,简单
216,组合总和III,720,73.7%,中等
1122,数组的相对排序,718,70.9%,简单
119,杨辉三角II,717,62.7%,简单
977,有序数组的平方,710,73.4%,简单
剑指Offer53-I,在排序数组中查找数字I,707,53.0%,简单
268,丢失的数字,701,59.2%,简单
57,插入区间,697,40.2%,中等
74,搜索二维矩阵,695,40.0%,中等
289,生命游戏,693,74.8%,中等
922,按奇偶排序数组II,693,71.5%,简单
128,最长连续序列,677,52.7%,困难
59,螺旋矩阵II,647,78.5%,中等
628,三个数的最大乘积,616,52.1%,简单
80,删除排序数组中的重复项II,608,56.9%,中等
153,寻找旋转排序数组中的最小值,605,52.2%,中等
238,除自身以外数组的乘积,604,71.4%,中等
219,存在重复元素II,595,41.0%,简单
674,最长连续递增序列,584,47.2%,简单
1470,重新排列数组,566,84.8%,简单
106,从中序与后序遍历序列构造二叉树,565,71.0%,中等
448,找到所有数组中消失的数字,559,61.3%,简单
941,有效的山脉数组,557,39.3%,简单
914,卡牌分组,554,38.9%,简单
123,买卖股票的最佳时机III,550,50.9%,困难
560,和为K的子数组,545,44.9%,中等
999,可以被一步捕获的棋子数,542,69.2%,简单
1512,好数对的数目,539,85.1%,简单
830,较大分组的位置,535,54.3%,简单
414,第三大的数,533,35.6%,简单
90,子集II,522,61.7%,中等
1295,统计位数为偶数的数字,518,81.3%,简单
945,使数组唯一的最小增量,502,48.5%,中等
1002,查找常用字符,500,74.3%,简单
485,最大连续1的个数,492,57.0%,简单
989,数组形式的整数加法,490,48.2%,简单
228,汇总区间,489,58.6%,简单
85,最大矩形,470,51.6%,困难
665,非递减数列,460,23.4%,简单
905,按奇偶排序数组,448,69.8%,简单
面试题17.10,主要元素,448,55.8%,简单
714,买卖股票的最佳时机含手续费,435,69.8%,中等
1128,等价多米诺骨牌对的数量,434,54.4%,简单
1313,解压缩编码列表,431,82.7%,简单
1351,统计有序矩阵中的负数,423,75.8%,简单
718,最长重复子数组,403,54.8%,中等
162,寻找峰值,388,48.3%,中等
73,矩阵置零,384,56.0%,中等
81,搜索旋转排序数组II,384,36.5%,中等
1389,按既定顺序创建目标数组,383,82.8%,简单
1266,访问所有点的最小时间,376,82.1%,简单
1232,缀点成线,373,47.0%,简单
832,翻转图像,367,75.7%,简单
621,任务调度器,365,55.5%,中等
面试题08.03,魔术索引,363,68.1%,简单
561,数组拆分I,361,73.1%,简单
1018,可被5整除的二进制前缀,355,51.7%,简单
581,最短无序连续子数组,352,35.7%,中等
1014,最佳观光组合,344,53.3%,中等
1299,将每个元素替换为右侧最大元素,342,77.8%,简单
154,寻找旋转排序数组中的最小值II,338,50.5%,困难
867,转置矩阵,330,66.9%,简单
面试题01.08,零矩阵,327,62.1%,中等
697,数组的度,326,55.1%,简单
1300,转变数组后最接近目标值的数组和,320,47.2%,中等
面试题17.04,消失的数字,303,64.4%,简单
747,至少是其他数字两倍的最大数,302,40.6%,简单
1051,高度检查器,301,74.4%,简单
1304,和为零的N个唯一整数,300,74.3%,简单
974,和可被K整除的子数组,298,45.7%,中等
717,1比特与2比特字符,288,50.2%,简单
1486,数组异或操作,273,84.4%,简单
495,提莫攻击,269,52.9%,中等
面试题16.17,连续数列,268,59.3%,简单
442,数组中重复的数据,267,68.4%,中等
1217,玩筹码,265,69.1%,简单
1464,数组中两元素的最大乘积,263,77.1%,简单
1202,交换字符串中的元素,261,49.8%,中等
896,单调数列,260,54.0%,简单
1450,在既定时间做作业的学生人数,259,80.4%,简单
1588,所有奇数长度子数组的和,239,80.5%,简单
1252,奇数值单元格的数目,232,75.5%,简单
126,单词接龙II,230,39.0%,困难
1460,通过翻转子数组使两个数组相等,229,74.4%,简单
1089,复写零,227,57.8%,简单
532,数组中的k-diff数对,224,35.9%,中等
1672,最富有客户的资产总量,223,86.2%,简单
面试题08.04,幂集,222,81.9%,中等
1010,总持续时间可被60整除的歌曲,214,44.0%,中等
766,托普利茨矩阵,211,67.0%,简单
566,重塑矩阵,209,66.1%,简单
1337,矩阵中战斗力最弱的K行,208,65.4%,简单
