5,最长回文子串,2408,32.9%,中等
121,买卖股票的最佳时机,2263,55.7%,简单
53,最大子序和,2231,53.1%,简单
70,爬楼梯,2231,51.3%,简单
198,打家劫舍,1617,47.4%,中等
42,接雨水,1608,54.0%,困难
62,不同路径,1552,64.0%,中等
64,最小路径和,1349,68.1%,中等
392,判断子序列,1157,50.8%,简单
322,零钱兑换,1153,42.4%,中等
300,最长递增子序列,1139,46.8%,中等
120,三角形最小路径和,1109,67.1%,中等
63,不同路径II,1084,37.5%,中等
面试题17.16,按摩师,964,52.8%,简单
32,最长有效括号,897,34.4%,困难
96,不同的二叉搜索树,849,69.2%,中等
10,正则表达式匹配,820,30.7%,困难
746,使用最小花费爬楼梯,812,54.7%,简单
剑指Offer42,连续子数组的最大和,786,59.9%,简单
152,乘积最大子数组,774,40.9%,中等
剑指Offer14-I,剪绳子,772,55.9%,中等
72,编辑距离,766,60.3%,困难
91,解码方法,740,25.4%,中等
343,整数拆分,717,59.2%,中等
139,单词拆分,707,48.9%,中等
213,打家劫舍II,680,40.6%,中等
221,最大正方形,634,43.9%,中等
647,回文子串,607,64.9%,中等
279,完全平方数,604,59.0%,中等
416,分割等和子集,572,49.3%,中等
309,最佳买卖股票时机含冷冻期,568,57.4%,中等
376,摆动序列,557,45.1%,中等
123,买卖股票的最佳时机III,550,50.9%,困难
1025,除数博弈,541,71.5%,简单
剑指Offer63,股票的最大利润,535,63.6%,中等
338,比特位计数,532,76.5%,中等
剑指Offer47,礼物的最大价值,532,68.4%,中等
85,最大矩形,470,51.6%,困难
1143,最长公共子序列,460,60.8%,中等
188,买卖股票的最佳时机IV,451,36.0%,困难
95,不同的二叉搜索树II,444,66.9%,中等
714,买卖股票的最佳时机含手续费,435,69.8%,中等
983,最低票价,406,63.2%,中等
718,最长重复子数组,403,54.8%,中等
494,目标和,390,44.6%,中等
44,通配符匹配,389,31.7%,困难
97,交错字符串,371,45.7%,困难
面试题01.05,一次编辑,360,32.9%,中等
131,分割回文串,359,70.2%,中等
303,区域和检索-数组不可变,352,64.5%,简单
1024,视频拼接,332,57.1%,中等
174,地下城游戏,325,48.3%,困难
140,单词拆分II,318,44.3%,困难
面试题08.01,三步问题,305,35.8%,简单
486,预测赢家,300,58.6%,中等
剑指Offer14-II,剪绳子II,283,30.2%,中等
面试题08.11,硬币,276,49.3%,中等
面试题16.17,连续数列,268,59.3%,简单
968,监控二叉树,263,48.9%,困难
516,最长回文子序列,256,59.3%,中等
312,戳气球,253,67.5%,困难
474,一和零,250,55.3%,中等
264,丑数II,246,55.1%,中等
887,鸡蛋掉落,244,28.9%,困难
剑指Offer19,正则表达式匹配,242,36.2%,困难
357,计算各个位数不同的数字个数,238,51.7%,中等
523,连续的子数组和,237,22.6%,中等
413,等差数列划分,236,64.1%,中等
837,新21点,217,40.1%,中等
410,分割数组的最大值,211,54.0%,困难
514,自由之路,208,50.0%,困难
650,只有两个键的键盘,202,51.7%,中等
