17,电话号码的字母组合,1919,55.7%,中等
104,二叉树的最大深度,1680,75.6%,简单
102,二叉树的层序遍历,1623,64.0%,中等
101,对称二叉树,1468,53.4%,简单
200,岛屿数量,1337,52.1%,中等
100,相同的树,1257,60.2%,简单
98,验证二叉搜索树,1242,33.4%,中等
111,二叉树的最小深度,1198,46.4%,简单
994,腐烂的橘子,1171,50.7%,中等
103,二叉树的锯齿形层序遍历,1126,57.0%,中等
112,路径总和,1098,51.7%,简单
199,二叉树的右视图,1060,64.8%,中等
110,平衡二叉树,983,55.1%,简单
107,二叉树的层序遍历II,977,68.0%,简单
394,字符串解码,892,53.8%,中等
105,从前序与中序遍历序列构造二叉树,889,68.9%,中等
108,将有序数组转换为二叉搜索树,838,74.6%,简单
113,路径总和II,828,61.4%,中等
114,二叉树展开为链表,815,71.7%,中等
129,求根到叶子节点数字之和,814,66.5%,中等
695,岛屿的最大面积,807,64.5%,中等
剑指Offer55-I,二叉树的深度,779,78.7%,简单
130,被围绕的区域,777,42.3%,中等
547,省份数量,765,61.4%,中等
116,填充每个节点的下一个右侧节点指针,725,68.6%,中等
257,二叉树的所有路径,705,66.5%,简单
128,最长连续序列,677,52.7%,困难
124,二叉树中的最大路径和,675,43.2%,困难
剑指Offer32-II,从上到下打印二叉树II,627,68.6%,简单
337,打家劫舍III,621,61.0%,中等
207,课程表,612,54.9%,中等
279,完全平方数,604,59.0%,中等
剑指Offer12,矩阵中的路径,604,45.2%,中等
剑指Offer32-III,从上到下打印二叉树III,597,58.6%,中等
106,从中序与后序遍历序列构造二叉树,565,71.0%,中等
剑指Offer55-II,平衡二叉树,550,58.0%,简单
117,填充每个节点的下一个右侧节点指针II,545,59.3%,中等
剑指Offer32-I,从上到下打印二叉树,536,64.7%,中等
109,有序链表转换二叉搜索树,523,76.1%,中等
127,单词接龙,502,45.8%,困难
剑指Offer34,二叉树中和为某一值的路径,469,57.6%,中等
210,课程表II,461,52.7%,中等
841,钥匙和房间,453,65.4%,中等
1319,连通网络的操作次数,450,62.0%,中等
684,冗余连接,445,66.2%,中等
542,01矩阵,441,45.3%,中等
1162,地图分析,433,46.7%,中等
399,除法求值,417,59.4%,中等
133,克隆图,413,66.0%,中等
494,目标和,390,44.6%,中等
990,等式方程的可满足性,390,47.7%,中等
99,恢复二叉搜索树,382,62.0%,困难
1028,从先序遍历还原二叉树,380,73.5%,困难
529,扫雷游戏,366,65.4%,中等
131,分割回文串,359,70.2%,中等
559,N叉树的最大深度,351,71.2%,简单
面试题04.03,特定深度节点链表,341,80.4%,中等
329,矩阵中的最长递增路径,339,46.4%,困难
733,图像渲染,333,58.0%,简单
785,判断二分图,321,50.2%,中等
938,二叉搜索树的范围和,318,78.0%,简单
513,找树左下角的值,309,72.2%,中等
947,移除最多的同行或同列石头,300,61.1%,中等
993,二叉树的堂兄弟节点,298,52.2%,简单
面试题04.04,检查平衡性,288,57.2%,简单
429,N叉树的层序遍历,286,67.8%,中等
面试题04.02,最小高度树,283,79.3%,简单
721,账户合并,281,46.3%,中等
1584,连接所有点的最小费用,277,66.8%,中等
491,递增子序列,273,55.9%,中等
959,由斜杠划分区域,272,74.9%,中等
1579,保证图可完全遍历,272,62.0%,困难
897,递增顺序查找树,265,72.8%,简单
968,监控二叉树,263,48.9%,困难
515,在每个树行中找最大值,262,63.4%,中等
1202,交换字符串中的元素,261,49.8%,中等
752,打开转盘锁,257,49.2%,中等
872,叶子相似的树,252,62.7%,简单
面试题16.19,水域大小,243,60.4%,中等
332,重新安排行程,240,44.0%,中等
997,找到小镇的法官,232,51.3%,简单
126,单词接龙II,230,39.0%,困难
679,24点游戏,224,54.5%,困难
685,冗余连接II,223,44.4%,困难
面试题04.05,合法二叉搜索树,223,34.1%,中等
430,扁平化多级双向链表,219,52.5%,中等
514,自由之路,208,50.0%,困难
563,二叉树的坡度,201,58.2%,简单
