1,两数之和,9564,50.0%,简单
3,无重复字符的最长子串,4685,36.3%,中等
剑指Offer03,数组中重复的数字,1690,67.5%,简单
136,只出现一次的数字,1427,70.7%,简单
94,二叉树的中序遍历,1369,74.7%,中等
242,有效的字母异位词,1118,63.5%,简单
409,最长回文串,1051,55.4%,简单
349,两个数组的交集,1012,73.5%,简单
739,每日温度,990,65.8%,中等
18,四数之和,977,39.7%,中等
217,存在重复元素,968,55.0%,简单
202,快乐数,948,61.1%,简单
347,前K个高频元素,940,61.8%,中等
1365,有多少小于当前数字的数字,923,82.6%,简单
49,字母异位词分组,910,65.4%,中等
350,两个数组的交集II,885,53.8%,简单
290,单词规律,863,45.8%,简单
771,宝石与石头,856,85.0%,简单
387,字符串中的第一个唯一字符,836,51.2%,简单
1160,拼写单词,820,68.7%,简单
389,找不同,748,69.6%,简单
1207,独一无二的出现次数,721,73.2%,简单
463,岛屿的周长,715,71.4%,简单
36,有效的数独,709,61.9%,中等
76,最小覆盖子串,695,40.4%,困难
205,同构字符串,649,49.8%,简单
剑指Offer50,第一个只出现一次的字符,598,60.5%,简单
219,存在重复元素II,595,41.0%,简单
37,解数独,578,66.8%,困难
面试题01.04,回文排列,554,54.5%,简单
204,计数质数,551,38.2%,简单
560,和为K的子数组,545,44.9%,中等
1512,好数对的数目,539,85.1%,简单
剑指Offer48,最长不含重复字符的子字符串,530,45.9%,中等
1002,查找常用字符,500,74.3%,简单
85,最大矩形,470,51.6%,困难
438,找到字符串中所有字母异位词,410,48.8%,中等
138,复制带随机指针的链表,406,59.7%,中等
718,最长重复子数组,403,54.8%,中等
30,串联所有单词的子串,385,33.7%,困难
451,根据字符出现频率排序,376,66.4%,中等
454,四数相加II,356,58.3%,中等
355,设计推特,344,40.6%,中等
645,错误的集合,331,42.5%,简单
500,键盘行,317,69.9%,简单
974,和可被K整除的子数组,298,45.7%,中等
575,分糖果,287,68.1%,简单
299,猜数字游戏,251,49.4%,中等
692,前K个高频单词,236,52.4%,中等
1189,“气球”的最大数量,236,63.9%,简单
961,重复N次的元素,224,67.2%,简单
632,最小区间,211,59.3%,困难
