7,整数反转,3553,34.9%,简单	
9,回文数,3373,58.7%,简单	
剑指Offer57-II,和为s的连续正数序列,1424,69.7%,简单	
剑指Offer05,替换空格,1193,76.1%,简单	
剑指Offer13,机器人的运动范围,1104,51.1%,中等	
1103,分糖果II,1059,63.3%,简单	
剑指Offer21,调整数组顺序使奇数位于偶数前面,962,64.3%,简单	
剑指Offer46,把数字翻译成字符串,948,54.0%,中等	
剑指Offer64,求1+2+…+n,943,85.3%,中等	
146,LRU缓存机制,848,51.5%,中等	
剑指Offer17,打印从1到最大的n位数,738,78.3%,简单	
剑指Offer59-I,滑动窗口的最大值,718,44.1%,简单	
175,组合两个表,701,73.7%,简单	
剑指Offer56-I,数组中数字出现的次数,670,70.9%,中等	
912,排序数组,663,59.6%,中等	
892,三维形体的表面积,644,63.9%,简单	
176,第二高的薪水,636,35.5%,简单	
836,矩形重叠,609,48.7%,简单	
820,单词的压缩编码,539,49.9%,中等	
剑指Offer62,圆圈中最后剩下的数字,537,63.9%,简单	
剑指Offer61,扑克牌中的顺子,526,45.1%,简单	
剑指Offer51,数组中的逆序对,525,46.8%,困难	
剑指Offer33,二叉搜索树的后序遍历序列,524,53.4%,中等	
1281,整数的各位积和之差,514,82.9%,简单	
剑指Offer20,表示数值的字符串,503,23.1%,中等	
LCP01,猜数字,498,84.3%,简单	
剑指Offer31,栈的压入、弹出序列,480,60.0%,中等	
208,实现Trie(前缀树),467,69.7%,中等	
258,各位相加,466,68.5%,简单	
178,分数排名,461,58.8%,中等	
剑指Offer57,和为s的两个数字,448,65.8%,简单	
LCP06,拿硬币,445,83.8%,简单	
181,超过经理收入的员工,444,70.2%,简单	
365,水壶问题,441,35.3%,中等	
171,Excel表列序号,427,68.8%,简单	
184,部门工资最高的员工,416,46.5%,中等	
1114,按序打印,414,64.6%,简单	
292,Nim游戏,400,69.5%,简单	
185,部门工资前三高的所有员工,395,46.8%,困难	
剑指Offer56-II,数组中数字出现的次数II,392,79.5%,中等	
168,Excel表列名称,389,38.8%,简单	
182,查找重复的电子邮箱,384,79.6%,简单	
1323,6和9组成的最大数字,379,75.4%,简单	
172,阶乘后的零,373,41.4%,简单	
263,丑数,361,50.0%,简单	
183,从不订购的客户,355,67.6%,简单	
1115,交替打印FooBar,346,55.6%,中等	
197,上升的温度,343,52.8%,简单	
180,连续出现的数字,334,48.9%,中等	
剑指Offer60,n个骰子的点数,323,54.2%,中等	
177,第N高的薪水,317,45.9%,中等	
剑指Offer43,1～n整数中1出现的次数,313,46.4%,困难	
498,对角线遍历,294,43.0%,中等	
460,LFU缓存,292,43.2%,困难	
剑指Offer66,构建乘积数组,279,58.9%,中等	
剑指Offer49,丑数,270,64.7%,中等	
剑指Offer65,不用加减乘除做加法,269,57.2%,简单	
622,设计循环队列,263,42.3%,中等	
262,行程和用户,261,46.8%,困难	
1116,打印零与奇偶数,260,49.9%,中等	
633,平方数之和,258,34.8%,中等	
剑指Offer44,数字序列中某一位的数字,257,40.0%,中等	
326,3的幂,250,47.9%,简单	
412,FizzBuzz,250,65.6%,简单	
196,删除重复的电子邮箱,239,65.2%,简单	
601,体育馆的人流量,236,47.5%,困难	
518,零钱兑换II,235,56.4%,中等	
728,自除数,233,75.1%,简单	
821,字符的最短距离,231,68.6%,简单	
面试题16.03,交点,222,44.6%,困难	
626,换座位,220,67.7%,中等	
504,七进制数,210,49.9%,简单	
620,有趣的电影,208,76.8%,简单	
627,变更性别,207,79.8%,简单
