2,两数相加,4729,39.4%,中等
4,寻找两个正序数组的中位数,2255,39.5%,困难
53,最大子序和,2231,53.1%,简单
21,合并两个有序链表,2188,65.2%,简单
17,电话号码的字母组合,1919,55.7%,中等
24,两两交换链表中的节点,1760,69.0%,中等
104,二叉树的最大深度,1680,75.6%,简单
169,多数元素,1500,65.5%,简单
215,数组中的第K个最大元素,1354,64.7%,中等
23,合并K个升序链表,1348,54.0%,困难
剑指Offer40,最小的k个数,1248,57.1%,简单
98,验证二叉搜索树,1242,33.4%,中等
剑指Offer10-I,斐波那契数列,1004,33.9%,简单
110,平衡二叉树,983,55.1%,简单
剑指Offer07,重建二叉树,891,68.7%,中等
剑指Offer42,连续子数组的最大和,786,59.9%,简单
剑指Offer10-II,青蛙跳台阶问题,776,42.8%,简单
124,二叉树中的最大路径和,675,43.2%,困难
剑指Offer25,合并两个排序的链表,661,73.1%,简单
剑指Offer39,数组中出现次数超过一半的数字,612,68.2%,简单
973,最接近原点的K个点,542,63.2%,中等
面试题16.11,跳水板,511,44.2%,简单
剑指Offer36,二叉搜索树与双向链表,476,64.8%,中等
面试题17.10,主要元素,448,55.8%,简单
剑指Offer16,数值的整数次方,421,33.4%,中等
315,计算右侧小于当前元素的个数,404,42.1%,困难
240,搜索二维矩阵II,397,43.6%,中等
1137,第N个泰波那契数,361,53.8%,简单
938,二叉搜索树的范围和,318,78.0%,简单
面试题08.05,递归乘法,314,67.0%,中等
面试题16.17,连续数列,268,59.3%,简单
897,递增顺序查找树,265,72.8%,简单
面试题17.14,最小K个数,254,54.2%,中等
312,戳气球,253,67.5%,困难
493,翻转对,223,33.8%,困难
783,二叉搜索树节点最小距离,223,56.1%,简单
514,自由之路,208,50.0%,困难
563,二叉树的坡度,201,58.2%,简单
