56,合并区间,1498,44.1%,中等
75,颜色分类,1203,57.3%,中等
242,有效的字母异位词,1118,63.5%,简单
349,两个数组的交集,1012,73.5%,简单
350,两个数组的交集II,885,53.8%,简单
148,排序链表,797,67.6%,中等
1122,数组的相对排序,718,70.9%,简单
57,插入区间,697,40.2%,中等
922,按奇偶排序数组II,693,71.5%,简单
147,对链表进行插入排序,598,67.2%,中等
973,最接近原点的K个点,542,63.2%,中等
452,用最少数量的箭引爆气球,529,51.0%,中等
1370,上升下降字符串,503,79.7%,简单
1356,根据数字二进制下1的数目排序,436,73.5%,简单
剑指Offer45,把数组排成最小的数,431,55.9%,中等
767,重构字符串,428,47.3%,中等
1030,距离顺序排列矩阵单元格,409,71.4%,简单
164,最大间距,408,61.2%,困难
976,三角形的最大周长,407,59.8%,简单
315,计算右侧小于当前元素的个数,404,42.1%,困难
179,最大数,356,37.8%,中等
1403,非递增顺序的最小子序列,280,69.2%,简单
面试题17.14,最小K个数,254,54.2%,中等
493,翻转对,223,33.8%,困难
1528,重新排列字符串,218,78.9%,简单
524,通过删除字母匹配到字典里最长单词,208,47.1%,中等
253,会议室II,206,47.2%,中等
1491,去掉最低工资和最高工资后的工资平均值,200,67.6%,简单
