225,用队列实现栈,4416,66.4%,简单
20,有效的括号,3782,43.6%,简单
42,接雨水,1608,54.0%,困难
94,二叉树的中序遍历,1369,74.7%,中等
144,二叉树的前序遍历,1129,69.0%,中等
103,二叉树的锯齿形层序遍历,1126,57.0%,中等
155,最小栈,1116,56.1%,简单
739,每日温度,990,65.8%,中等
145,二叉树的后序遍历,985,74.0%,中等
剑指Offer09,用两个栈实现队列,968,72.6%,简单
394,字符串解码,892,53.8%,中等
剑指Offer59-II,队列的最大值,824,47.4%,中等
84,柱状图中最大的矩形,789,42.6%,困难
844,比较含退格的字符串,710,52.2%,简单
232,用栈实现队列,616,65.8%,简单
496,下一个更大元素I,562,66.6%,简单
71,简化路径,536,41.4%,中等
1021,删除最外层的括号,503,78.3%,简单
85,最大矩形,470,51.6%,困难
剑指Offer30,包含min函数的栈,462,57.4%,简单
150,逆波兰表达式求值,450,50.9%,中等
402,移掉K位数字,427,32.8%,中等
503,下一个更大元素II,383,58.9%,中等
316,去除重复字母,364,47.6%,中等
682,棒球比赛,362,69.0%,简单
1047,删除字符串中的所有相邻重复项,354,69.4%,简单
173,二叉搜索树迭代器,306,75.7%,中等
1441,用栈操作构建数组,253,64.4%,简单
面试题03.04,化栈为队,242,71.4%,简单
227,基本计算器II,237,38.7%,中等
224,基本计算器,227,39.1%,困难
面试题03.02,栈的最小值,207,60.4%,简单
921,使括号有效的最少添加,206,73.1%,中等
