3,无重复字符的最长子串,4685,36.3%,中等
26,删除排序数组中的重复项,2902,52.7%,简单
27,移除元素,2395,59.1%,简单
19,删除链表的倒数第N个结点,2387,40.8%,中等
面试题10.01,合并排序的数组,2198,54.5%,简单
283,移动零,2145,63.6%,简单
28,实现strStr(),2018,39.7%,简单
11,盛最多水的容器,1945,64.7%,中等
15,三数之和,1860,30.7%,中等
88,合并两个有序数组,1823,49.2%,简单
141,环形链表,1761,50.7%,简单
42,接雨水,1608,54.0%,困难
234,回文链表,1333,45.3%,简单
125,验证回文串,1326,46.9%,简单
剑指Offer22,链表中倒数第k个节点,1288,78.5%,简单
344,反转字符串,1221,74.2%,简单
剑指Offer04,二维数组中的查找,1220,41.0%,中等
75,颜色分类,1203,57.3%,中等
167,两数之和II-输入有序数组,1140,57.3%,简单
142,环形链表II,1065,54.3%,中等
61,旋转链表,1045,40.6%,中等
349,两个数组的交集,1012,73.5%,简单
18,四数之和,977,39.7%,中等
16,最接近的三数之和,938,45.9%,中等
350,两个数组的交集II,885,53.8%,简单
287,寻找重复数,785,66.2%,中等
86,分隔链表,784,62.3%,中等
209,长度最小的子数组,774,44.8%,中等
844,比较含退格的字符串,710,52.2%,简单
977,有序数组的平方,710,73.4%,简单
面试题02.02,返回倒数第k个节点,706,78.0%,简单
763,划分字母区间,704,76.6%,中等
76,最小覆盖子串,695,40.4%,困难
925,长按键入,612,39.3%,简单
80,删除排序数组中的重复项II,608,56.9%,中等
345,反转字符串中的元音字母,546,51.3%,简单
剑指Offer48,最长不含重复字符的子字符串,530,45.9%,中等
845,数组中的最长山脉,484,41.7%,中等
1248,统计「优美子数组」,403,54.6%,中等
567,字符串的排列,392,38.4%,中等
30,串联所有单词的子串,385,33.7%,困难
面试题02.04,分割链表,240,65.0%,中等
532,数组中的k-diff数对,224,35.9%,中等
632,最小区间,211,59.3%,困难
524,通过删除字母匹配到字典里最长单词,208,47.1%,中等
